permaticker,last_trade_date,event_type,in_core,in_clones,in_phaseF,evidence_required
185389,2006-04-19,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185418,2006-04-21,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185415,2006-06-01,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185413,2006-06-09,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185403,2006-06-27,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
184651,2006-08-09,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
167927,2006-09-29,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185414,2006-11-03,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185408,2006-11-09,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
115105,2006-11-17,DELISTED_OTHER,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
176978,2006-11-30,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185393,2006-11-30,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
186594,2006-12-01,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185391,2006-12-29,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
116535,2008-01-28,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
181624,2008-03-28,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
123481,2008-05-30,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185411,2008-06-05,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185387,2008-06-30,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198719,2008-07-29,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
168388,2008-08-25,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185404,2008-09-22,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
180382,2008-10-06,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188897,2008-10-15,BANKRUPTCY_LIQUIDATION,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
183067,2008-11-13,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185400,2008-11-17,DELISTED_OTHER,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
173408,2008-11-21,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185412,2008-12-05,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185392,2008-12-22,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
173407,2008-12-31,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185417,2008-12-31,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199543,2008-12-31,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185395,2009-01-05,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198356,2009-01-29,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
178636,2009-04-01,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
180415,2009-06-30,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185396,2009-08-18,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
188818,2009-10-15,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
165457,2009-11-03,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
116371,2009-12-09,BANKRUPTCY_LIQUIDATION,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185406,2010-01-26,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
185398,2010-02-05,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197312,2010-02-12,ACQUIRED,False,False,True,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
