permaticker,last_trade_date,in_old_111_name_level,in_new_exposure_level,classification,in_core,in_clones
113491,2017-06-16,True,True,AGREE_both,False,True
119243,2023-03-28,True,True,AGREE_both,False,True
119256,2023-05-03,True,True,AGREE_both,False,True
119313,2022-04-08,True,True,AGREE_both,False,True
119350,2016-05-27,True,True,AGREE_both,False,True
119466,2026-02-03,True,False,FALSE_POSITIVE_old_only,False,False
119498,2019-03-20,True,True,AGREE_both,False,True
165454,2018-04-03,True,False,FALSE_POSITIVE_old_only,False,False
165517,2024-07-05,True,False,FALSE_POSITIVE_old_only,False,False
166332,2022-02-25,True,True,AGREE_both,False,True
179780,2025-08-28,True,False,FALSE_POSITIVE_old_only,False,False
182800,2016-06-02,True,True,AGREE_both,False,True
185101,2016-06-30,True,True,AGREE_both,False,True
187636,2022-08-25,True,False,FALSE_POSITIVE_old_only,False,False
187658,2024-12-17,True,False,FALSE_POSITIVE_old_only,False,False
187959,2022-10-27,True,True,AGREE_both,False,True
191420,2020-05-08,True,True,AGREE_both,False,True
191431,2018-10-10,True,False,FALSE_POSITIVE_old_only,False,False
191587,2022-06-27,True,False,FALSE_POSITIVE_old_only,False,False
191948,2016-04-29,True,True,AGREE_both,False,True
192161,2018-12-20,True,False,FALSE_POSITIVE_old_only,False,False
192812,2018-08-27,True,False,FALSE_POSITIVE_old_only,False,False
192873,2022-10-10,True,True,AGREE_both,False,True
193321,2017-06-14,True,True,AGREE_both,False,True
193573,2018-03-06,True,False,FALSE_POSITIVE_old_only,False,False
194076,2025-05-16,True,False,FALSE_POSITIVE_old_only,False,False
194273,2022-04-04,True,True,AGREE_both,False,True
194291,2016-05-17,True,True,AGREE_both,False,True
194340,2017-02-24,True,True,AGREE_both,False,True
194504,2025-11-28,True,False,FALSE_POSITIVE_old_only,False,False
194516,2021-01-15,True,True,AGREE_both,False,True
194695,2019-12-04,True,True,AGREE_both,False,True
194984,2019-03-20,True,True,AGREE_both,False,True
195237,2020-01-23,True,True,AGREE_both,False,True
195259,2017-07-24,True,True,AGREE_both,False,True
195646,2021-09-30,True,False,FALSE_POSITIVE_old_only,False,False
195845,2018-11-26,True,False,FALSE_POSITIVE_old_only,False,False
195867,2017-01-13,True,True,AGREE_both,False,True
195983,2018-11-28,True,False,FALSE_POSITIVE_old_only,False,False
196028,2019-02-07,True,False,FALSE_POSITIVE_old_only,False,False
196059,2018-06-06,True,False,FALSE_POSITIVE_old_only,False,False
196101,2018-06-15,True,False,FALSE_POSITIVE_old_only,False,False
196326,2019-07-08,True,False,FALSE_POSITIVE_old_only,False,False
196648,2019-06-28,True,True,AGREE_both,False,True
196674,2016-06-20,True,True,AGREE_both,False,True
196736,2020-04-02,True,True,AGREE_both,False,True
196779,2025-07-01,True,False,FALSE_POSITIVE_old_only,False,False
196845,2024-05-02,True,False,FALSE_POSITIVE_old_only,False,False
197057,2020-10-02,True,True,AGREE_both,False,True
197076,2025-07-17,True,False,FALSE_POSITIVE_old_only,False,False
197087,2026-04-08,True,False,FALSE_POSITIVE_old_only,False,False
197152,2016-06-30,True,True,AGREE_both,False,True
197196,2023-12-29,True,False,FALSE_POSITIVE_old_only,False,False
197210,2016-05-11,True,True,AGREE_both,False,True
197224,2021-04-23,True,False,FALSE_POSITIVE_old_only,False,False
197286,2016-04-01,True,True,AGREE_both,False,True
197557,2019-02-12,True,True,AGREE_both,False,True
197642,2021-07-21,True,True,AGREE_both,False,True
197696,2021-02-10,True,False,FALSE_POSITIVE_old_only,False,False
197737,2025-04-16,True,False,FALSE_POSITIVE_old_only,False,False
197799,2023-05-02,True,False,FALSE_POSITIVE_old_only,False,False
197821,2018-10-30,True,False,FALSE_POSITIVE_old_only,False,False
197912,2022-09-29,True,True,AGREE_both,False,True
197934,2018-09-11,True,False,FALSE_POSITIVE_old_only,False,False
198012,2017-08-28,True,True,AGREE_both,False,True
198040,2024-11-01,True,False,FALSE_POSITIVE_old_only,False,False
198055,2026-04-06,True,False,FALSE_POSITIVE_old_only,False,False
198066,2026-05-06,True,False,FALSE_POSITIVE_old_only,False,False
198109,2025-09-05,True,False,FALSE_POSITIVE_old_only,False,False
198310,2019-11-20,True,True,AGREE_both,False,True
198315,2022-12-21,True,True,AGREE_both,False,True
198375,2017-07-03,True,True,AGREE_both,False,True
198397,2022-06-07,True,True,AGREE_both,False,True
198401,2016-05-20,True,True,AGREE_both,False,True
198417,2017-03-10,True,True,AGREE_both,False,True
198462,2017-10-31,True,True,AGREE_both,False,True
198484,2017-03-10,True,True,AGREE_both,False,True
198486,2017-09-12,True,True,AGREE_both,False,True
198495,2016-09-06,True,True,AGREE_both,False,True
198539,2022-09-30,True,True,AGREE_both,False,True
198565,2019-08-08,True,False,FALSE_POSITIVE_old_only,False,False
198638,2018-12-31,True,False,FALSE_POSITIVE_old_only,False,False
198658,2019-12-06,True,True,AGREE_both,False,True
198693,2022-02-11,True,True,AGREE_both,False,True
198698,2021-08-26,True,True,AGREE_both,False,True
198821,2019-09-17,True,False,FALSE_POSITIVE_old_only,False,False
198834,2023-03-28,True,True,AGREE_both,False,True
198850,2023-10-12,True,True,AGREE_both,False,True
198942,2020-07-30,True,False,FALSE_POSITIVE_old_only,False,False
198986,2018-11-05,True,False,FALSE_POSITIVE_old_only,False,False
199000,2021-05-14,True,True,AGREE_both,False,True
199049,2016-06-30,True,True,AGREE_both,False,True
199096,2016-09-22,True,True,AGREE_both,False,True
199176,2021-04-14,True,True,AGREE_both,False,True
199178,2017-01-04,True,True,AGREE_both,False,True
199252,2024-11-21,True,False,FALSE_POSITIVE_old_only,False,False
199285,2021-01-06,True,True,AGREE_both,False,True
199482,2025-05-20,True,False,FALSE_POSITIVE_old_only,False,False
199485,2020-10-02,True,True,AGREE_both,False,True
199601,2025-12-11,True,False,FALSE_POSITIVE_old_only,False,False
199604,2021-12-13,True,True,AGREE_both,False,True
199619,2025-11-26,True,False,FALSE_POSITIVE_old_only,False,False
199632,2018-09-28,True,False,FALSE_POSITIVE_old_only,False,False
199693,2026-03-20,True,False,FALSE_POSITIVE_old_only,False,False
199769,2017-08-31,True,True,AGREE_both,False,True
199788,2026-01-30,True,False,FALSE_POSITIVE_old_only,False,False
199845,2021-04-30,True,False,FALSE_POSITIVE_old_only,False,False
199915,2017-12-28,True,True,AGREE_both,False,True
199941,2024-09-30,True,False,FALSE_POSITIVE_old_only,False,False
199976,2025-07-18,True,False,FALSE_POSITIVE_old_only,False,False
573113,2016-09-02,True,True,AGREE_both,False,True
