formation,permaticker,deploy_date,scheduled_exit_date,last_trade_date,event_type,note
2006-03-31,167927,2006-04-03,2006-10-02,2006-09-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-03-31,184651,2006-04-03,2006-10-02,2006-08-09,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-03-31,185389,2006-04-03,2006-10-02,2006-04-19,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-03-31,185403,2006-04-03,2006-10-02,2006-06-27,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-03-31,185413,2006-04-03,2006-10-02,2006-06-09,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-03-31,185415,2006-04-03,2006-10-02,2006-06-01,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-03-31,185418,2006-04-03,2006-10-02,2006-04-21,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-06-30,115105,2006-07-03,2007-01-03,2006-11-17,DELISTED_OTHER,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-06-30,167927,2006-07-03,2007-01-03,2006-09-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-06-30,176978,2006-07-03,2007-01-03,2006-11-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-06-30,184651,2006-07-03,2007-01-03,2006-08-09,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-06-30,185391,2006-07-03,2007-01-03,2006-12-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-06-30,185393,2006-07-03,2007-01-03,2006-11-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-06-30,185408,2006-07-03,2007-01-03,2006-11-09,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-06-30,185414,2006-07-03,2007-01-03,2006-11-03,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2006-06-30,186594,2006-07-03,2007-01-03,2006-12-01,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2007-12-31,116535,2008-01-02,2008-07-01,2008-01-28,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2007-12-31,123481,2008-01-02,2008-07-01,2008-05-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2007-12-31,181624,2008-01-02,2008-07-01,2008-03-28,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2007-12-31,185387,2008-01-02,2008-07-01,2008-06-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2007-12-31,185411,2008-01-02,2008-07-01,2008-06-05,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-03-31,123481,2008-04-01,2008-10-01,2008-05-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-03-31,168388,2008-04-01,2008-10-01,2008-08-25,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-03-31,185387,2008-04-01,2008-10-01,2008-06-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-03-31,185404,2008-04-01,2008-10-01,2008-09-22,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-03-31,185411,2008-04-01,2008-10-01,2008-06-05,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2008-03-31,198719,2008-04-01,2008-10-01,2008-07-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
